"id","collection_id","status","action","type","created_at","last_updated_at","alias","user_id"
"1a758347-ffe8-45fc-926b-fbd9d8e82104","65ac3e99-14c6-4529-b27b-0b5a037a310d","init","start","chat-with-data","2024-07-26 09:53:56","2024-07-26 09:55:25","Benchmark des cabinets de conseil",NULL
"1a838e5a-3818-4fb4-8efd-3ae5aef9fd52","b4d93636-df57-4ede-9ebe-3452e1ce891d","init","start","chat-with-data",NULL,NULL,NULL,NULL
"1c21db59-0dad-47f0-b9f2-f410d8fef7d2","87c460c1-624a-4372-b161-9c26b4f6a885","init","start","chat-with-data",NULL,NULL,NULL,NULL
"1cd008c7-672f-4cdd-afd6-e885e13c896e","b4d93636-df57-4ede-9ebe-3452e1ce891d","init","start","chat-with-data",NULL,NULL,NULL,NULL
"1d4155e1-8418-4246-b7a2-34438dce5620","2e7b819e-6d91-43be-983d-cfffd9a168e3","init","start","chat-with-data",NULL,"2024-07-01 12:39:11",NULL,NULL
"1db6892e-569d-4431-ae38-2fe0f5be3944","1f7f2587-e2f4-410e-bfc8-c511ae9c70b2","init","start","chat-with-data","2024-07-31 12:46:17","2024-07-31 13:23:25","Objectifs RH et IA",NULL
"1e46bfc6-67bc-4f22-9474-1fb2064ce79e","41321215-6f38-430d-8e2d-9bd85dc1288a","init","start","chat-with-data","2024-07-11 08:23:39","2024-07-11 08:23:39",NULL,NULL
"1f1b008f-cd94-431b-9d32-d09e89e54676","552b6343-287b-46c1-99bb-167f024764aa","init","start","coach-ia","2024-06-24 08:56:25","2024-06-24 08:56:25",NULL,NULL
"1f5e7c98-f4ec-4845-aa60-81b53b131296","1a44faa1-f89b-4799-a17a-edbfc68938d3","init","start","chat-with-data",NULL,NULL,NULL,NULL
"1fc5385f-6166-4eb7-a9ff-d9b81a97bb92","b4d93636-df57-4ede-9ebe-3452e1ce891d","init","start","chat-with-data",NULL,NULL,NULL,NULL
